id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition
400,N1,LRP181,177.963,22.8059444,91.5589167,Km post missing,link,,155.00000000000114,N/A
401,N1,LRP181A,178.118,22.8045833,91.5591111,Box culvert,bridge,Box Culvert,844.9999999999989,B
402,N1,LRP182,178.963,22.7974719,91.5613611,Km post missing,link,,492.999999999995,N/A
403,N1,LRP182A,179.456,22.7934163,91.5633333,Box Culvert,bridge,Box Culvert,472.0000000000084,A
404,N1,LRP182B,179.928,22.7896108,91.5654444,Box culvert,bridge,Box Culvert,34.99999999999659,A
405,N1,LRP183,179.963,22.7893608,91.5655833,Km post missing,link,,993.9999999999998,N/A
406,N1,LRP183A,180.957,22.7813327,91.5695271,Bridge start,bridge,Bridge,6.000000000000227,B
407,N1,LRP184,180.963,22.7812216,91.5695827,Km post missing,link,,15.00000000001478,N/A
408,N1,LRP184A,180.978,22.7811382,91.5696382,Bridge end,bridge,Bridge,485.99999999999,B
409,N1,LRP184B,181.464,22.7771104,91.5713327,Road to Narayanhat (Z1021),link,,474.9999999999943,N/A
410,N1,LRP184C,181.939,22.7732771,91.5733604,Box culvert,bridge,Box Culvert,24.00000000000091,A
411,N1,LRP185,181.963,22.7730271,91.5734716,Km post missing,link,,468.9999999999941,N/A
412,N1,LRP185A,182.432,22.7693604,91.5756104,Box culvert,bridge,Box Culvert,2.0000000000095497,A
413,N1,LRP185B,182.434,22.7661944,91.5779993,Box culvert,bridge,Box Culvert,528.9999999999964,A
414,N1,LRP186,182.963,22.7654722,91.5785549,Km post missing,link,,453.00000000000296,N/A
415,N1,LRP186A,183.416,22.7621944,91.5811382,Box culvert,bridge,Box Culvert,546.999999999997,A
416,N1,LRP187,183.963,22.7585278,91.5845274,Km post missing,link,,819.9999999999932,N/A
417,N1,LRP187A,184.783,22.7526389,91.5893608,Bridge start,bridge,Box Culvert,23.000000000024556,A
418,N1,LRP187B,184.806,22.7525,91.5894719,Bridge end,bridge,Box Culvert,156.99999999998226,A
419,N1,LRP188,184.963,22.7513333,91.5903608,Km post missing,link,,231.99999999999932,N/A
420,N1,LRP188A,185.195,22.7496386,91.5916386,Box culvert,bridge,Box Culvert,768.0000000000007,A
421,N1,LRP189,185.963,22.7435552,91.5949163,Km post missing,link,,32.00000000001069,N/A
422,N1,LRP189A,185.995,22.7433052,91.5950274,Box culvert,bridge,Box Culvert,967.9999999999893,B
423,N1,LRP190,186.963,22.7349997,91.5979441,Km post missing,link,,12.000000000000455,N/A
424,N1,LRP190A,186.975,22.7349163,91.5979719,Box culvert,bridge,Box Culvert,987.9999999999995,B
425,N1,LRP191,187.963,22.7263882,91.6007778,Km post missing,link,,539.0000000000157,N/A
426,N1,LRP191A,188.502,22.7221104,91.6030833,Box culvert,bridge,Box Culvert,460.9999999999843,A
427,N1,LRP192,188.963,22.7185549,91.6053056,Km post missing,link,,260.0000000000193,N/A
428,N1,LRP192A,189.223,22.7165556,91.6065556,Box culvert,bridge,Box Culvert,74.99999999998863,A
429,N1,LRP192B,189.298,22.716,91.6069167,Box culvert,bridge,Box Culvert,215.0000000000034,A
430,N1,LRP193,189.513,22.7143889,91.6079444,"Ctg 52 km,Sitakhada 12 km",link,,256.0000000000002,N/A
431,N1,LRP193A,189.769,22.7124167,91.6090556,Box culvert,bridge,Box Culvert,606.9999999999993,C
432,N1,LRP193B,190.376,22.7076111,91.6118056,Box Culvert,bridge,Box Culvert,137.00000000000045,A
433,N1,LRP194,190.513,22.7065556,91.6123611,Km post missing,link,,67.99999999998363,N/A
434,N1,LRP194A,190.581,22.706,91.6126944,Box culvert,bridge,Box Culvert,342.00000000001296,A
435,N1,LRP194B,190.923,22.7033056,91.6142222,Box culvert,bridge,Box Culvert,381.0000000000002,A
436,N1,LRP194C,191.304,22.7002222,91.6157778,Box culvert,bridge,Box Culvert,219.99999999999886,A
437,N1,LRP195,191.524,22.6984997,91.616666,"Ctg 50 km,Sitakanda 10 km",link,,783.9999999999918,N/A
438,N1,LRP195A,192.308,22.6919719,91.6198604,Box culvert,bridge,Box Culvert,216.00000000000819,A
439,N1,LRP196,192.524,22.6904163,91.6205271,Km post missing,link,,98.00000000001319,N/A
440,N1,LRP196A,192.622,22.689583,91.6208327,Box culvert,bridge,Box Culvert,543.9999999999827,A
441,N1,LRP196B,193.166,22.685083,91.6228327,Box culvert,bridge,Box Culvert,317.0000000000073,A
442,N1,LRP197,193.483,22.6825549,91.6241938,"Ctg 48 km,Sitakanda 8 km",link,,669.9999999999875,N/A
443,N1,LRP197A,194.153,22.6769438,91.6268327,Box culvert,bridge,Box Culvert,230.99999999999454,A
444,N1,LRP197B,194.384,22.6751382,91.6274438,Box culvert,bridge,Box Culvert,99.00000000001796,A
445,N1,LRP198,194.483,22.6743049,91.6277493,Km post missing,link,,120.00000000000455,N/A
446,N1,LRP198A,194.603,22.6733049,91.6280827,Road to Haidchokia (Z1086),link,,131.00000000000023,N/A
447,N1,LRP198B,194.734,22.6722493,91.6285271,Box culvert,bridge,Box Culvert,506.0000000000002,A
448,N1,LRP198C,195.24,22.6678604,91.6301104,Box culvert,bridge,Box Culvert,370.00000000000455,A
449,N1,LRP199,195.61,22.6649167,91.6315549,"Ctg 46 km,Sitakanda 6 km",link,,137.9999999999768,N/A
450,N1,LRP199A,195.748,22.6638333,91.6321382,Box culvert,bridge,Box Culvert,540.0000000000205,A
451,N1,LRP199B,196.288,22.6596667,91.6347219,Box culvert,bridge,Box Culvert,322.00000000000273,A
452,N1,LRP200,196.61,22.6571389,91.636333,Km post missing,link,,356.9999999999993,N/A
453,N1,LRP200A,196.967,22.6543889,91.6381386,Box culvert,bridge,Box Culvert,208.99999999997476,A
454,N1,LRP200B,197.176,22.6527778,91.6391663,Box culvert,bridge,Box Culvert,411.00000000000136,A
455,N1,LRP201,197.587,22.6494997,91.640833,"Ctg 44 km,Sitakanda 4 km",link,,67.00000000000728,N/A
456,N1,LRP201A,197.654,22.6489997,91.6411108,Box culvert,bridge,Box Culvert,462.99999999999386,A
