bridge_id,bridge_name,road_name,condition,length,is_broken,total_wait_time
674,Box culvert,N1,B,178.99999999997362,False,0.0
678,Bridge start,N1,B,217.00000000004133,False,0.0
679,Bridge end,N1,B,267.99999999997226,False,0.0
681,Bridge start,N1,A,9.000000000014552,False,0.0
682,Bridge end,N1,A,206.00000000001728,False,0.0
685,Box Culvert,N1,A,501.0000000000332,False,0.0
686,Box Culvert,N1,A,161.00000000000136,False,0.0
688,Bridge start,N1,A,61.00000000003547,False,0.0
689,Bridge end,N1,A,223.9999999999896,False,0.0
690,Bridge start,N1,A,31.00000000000591,False,0.0
691,Bridge end,N1,A,484.9999999999568,False,0.0
693,Box culvert,N1,A,388.9999999999532,True,4303.354915302435
694,Box culvert,N1,A,600.9999999999991,False,0.0
696,Box culvert,N1,A,717.9999999999609,False,0.0
699,Box culvert,N1,A,250.0,False,0.0
702,Box culvert,N1,A,222.00000000003683,False,0.0
705,Box culvert,N1,A,418.0000000000064,False,0.0
707,Box culvert,N1,A,699.9999999999886,False,0.0
709,Bridge start,N1,A,33.00000000001546,False,0.0
710,Bridge end,N1,A,177.00000000002092,False,0.0
712,Bridge start,N1,A,45.00000000001592,False,0.0
713,Bridge end,N1,A,379.99999999999545,False,0.0
714,Box culvert,N1,A,9.000000000014552,False,0.0
716,Box culvert,N1,A,514.9999999999864,False,0.0
717,Box culvert,N1,A,62.00000000001182,False,0.0
719,Box culvert,N1,A,438.9999999999645,False,0.0
721,Box culvert,N1,A,136.0000000000241,False,0.0
723,Box culvert,N1,A,96.99999999998,False,0.0
725,Box culvert,N1,A,377.9999999999859,False,0.0
726,Bridge start,N1,A,55.00000000000682,False,0.0
728,Bridge end,N1,A,899.0000000000009,False,0.0
730,Box culvert,N1,A,923.0000000000018,False,0.0
732,Box culvert,N1,A,48.99999999997817,False,0.0
734,Box culvert,N1,A,540.0000000000205,False,0.0
735,Box culvert,N1,A,16.000000000019554,False,0.0
737,Box culvert,N1,A,16.999999999995907,False,0.0
738,Box culvert,N1,A,434.0000000000259,False,0.0
739,Bridge start,N1,A,60.000000000002274,False,0.0
740,Bridge end,N1,A,19.000000000005457,False,0.0
742,Box culvert,N1,A,406.0000000000059,False,0.0
743,Bridge start,N1,A,24.00000000000091,False,0.0
744,Bridge end,N1,A,389.00000000001,False,0.0
746,Bridge start,N1,A,25.000000000034102,False,0.0
747,Bridge end,N1,A,253.99999999996223,False,0.0
748,Box culvert,N1,A,342.0000000000414,False,0.0
749,Box culvert,N1,A,132.99999999998136,False,0.0
753,Box culvert,N1,A,264.9999999999864,False,0.0
755,Bridge start,N1,A,21.000000000015007,False,0.0
756,Bridge end,N1,A,372.0000000000141,False,0.0
757,Box culvert,N1,A,351.99999999997544,False,0.0
759,Box culvert,N1,A,521.000000000015,False,0.0
760,Bridge start,N1,A,21.000000000015007,False,0.0
761,Bridge end,N1,A,302.99999999999727,False,0.0
763,Box culvert,N1,A,538.9999999999873,True,4293.091460580289
765,Box culvert,N1,A,252.9999999999859,False,0.0
